priority,category,name,action,reason,status,notes
1,heroes,hero-typography-only,build,tier-1-initial,completed,Bold headline hero
2,heroes,hero-split-image,build,tier-1-initial,completed,Grid split with image
3,navigation,nav-sticky-blur,build,tier-1-initial,completed,Glasmorphism nav
4,cta,cta-floating-bar,build,tier-1-initial,completed,Sticky bottom CTA
5,cta,cta-inline-section,build,tier-1-initial,completed,Full-width CTA section
6,layouts,section-wrapper,build,tier-1-initial,completed,Consistent padding
7,layouts,split-layout,build,tier-1-initial,completed,Two-column split
8,layouts,full-bleed,build,tier-1-initial,completed,Edge-to-edge wrapper
10,heroes,bulk-import,import,fill-library,completed,13 hero variants imported
11,navigation,bulk-import,import,fill-library,completed,7 nav variants imported
12,features,bulk-import,import,fill-library,completed,8 feature variants imported
13,testimonials,bulk-import,import,fill-library,completed,6 testimonial variants imported
14,cta,bulk-import,import,fill-library,completed,2 CTA variants (need 6-8 more)
15,footers,bulk-import,import,fill-library,completed,6 footer variants imported
16,pricing,bulk-import,import,fill-library,completed,5 pricing variants imported
17,faq,bulk-import,import,fill-library,completed,4 FAQ variants imported
18,contact,bulk-import,import,fill-library,completed,5 contact variants imported
19,gallery,bulk-import,import,fill-library,completed,5 gallery variants imported
20,social-proof,bulk-import,import,fill-library,completed,5 social-proof variants imported
21,stats,bulk-import,import,fill-library,completed,5 stats variants imported
22,team,bulk-import,import,fill-library,completed,5 team variants imported
23,blog,bulk-import,import,fill-library,completed,4 blog variants imported
24,error,bulk-import,import,fill-library,completed,4 error page variants imported
25,animations,bulk-import,import,fill-library,not-started,Import 10-15 animation utilities
26,cta,bulk-import-extra,import,fill-library,completed,5 extra CTA variants imported (total 7)
27,faq,bulk-import-extra,import,fill-library,not-started,Import 4 more FAQ variants to reach target
